OR4F5	NM_001005484
ATP6V1E2	NM_080653
RHOQ	NM_012249
PIGF	NM_002643
CRIPT	NM_014171
SOCS5	NM_014011
LINC01118	ENST00000409912
LINC01119	ENST00000422294
MCFD2	NM_001171508
TTC7A	NM_001288951
C2orf61	NM_001163561
RP11-761B3.1	ENST00000422269
CALM2	NM_001743
EPCAM	NM_002354
MSH2	NM_000251
KCNK12	NM_022055
AC138655.1	ENST00000601243
MSH6	NM_000179
FBXO11	NM_001190274
FOXN2	NM_002158
PPP1R21	NM_001135629
STON1-GTF2A1L	NM_172311
STON1	NM_006873
GTF2A1L	NM_006872
LHCGR	NM_000233
FSHR	NM_000145
NRXN1	NM_004801
GPR75-ASB3	NM_001164165
ASB3	NM_016115
CHAC2	NM_001008708
ERLEC1	NM_015701
GPR75	NM_006794
PSME4	NM_014614
ACYP2	NM_138448
TSPYL6	NM_001003937
C2orf73	NM_001100396
SPTBN1	NM_003128
EML6	NM_001039753
RTN4	NM_020532
CLHC1	NM_152385
RPS27A	NM_002954
MTIF2	NM_002453
CCDC88A	NM_001135597
CCDC104	NM_001282761
SMEK2	NM_001122964
PNPT1	NM_033109
EFEMP1	NM_001039349
CCDC85A	NM_001080433
VRK2	NM_001288837
FANCL	NM_001114636
BCL11A	NM_022893
PAPOLG	NM_022894
REL	NM_002908
PUS10	NM_144709
PEX13	NM_002618
KIAA1841	NM_001129993
C2orf74	NM_001143959
AHSA2	NM_152392
USP34	NM_014709
XPO1	NM_003400
FAM161A	NM_001201543
CCT4	NM_006430
COMMD1	NM_152516
B3GNT2	NM_006577
TMEM17	NM_198276
EHBP1	NM_015252
OTX1	NM_001199770
WDPCP	NM_015910
MDH1	NM_001199111
UGP2	NM_006759
VPS54	NM_016516
PELI1	NM_020651
LGALSL	NM_014181
AFTPH	NM_203437
SERTAD2	NM_014755
SLC1A4	NM_003038
CEP68	NM_015147
RAB1A	NM_004161
ACTR2	NM_001005386
SPRED2	NM_181784
MEIS1	NM_002398
ETAA1	NM_019002
C1D	NM_173177
WDR92	NM_138458
RP11-474G23.1	ENST00000406334
PNO1	NM_020143
PPP3R1	NM_000945
CNRIP1	NM_015463
PLEK	NM_002664
FBXO48	NM_001024680
APLF	NM_173545
PROKR1	NM_138964
ARHGAP25	NM_001007231
BMP10	NM_014482
GKN2	NM_182536
GKN1	NM_019617
ANTXR1	NM_032208
GFPT1	NM_001244710
NFU1	NM_015700
AAK1	NM_014911
ANXA4	NM_001153
GMCL1	NM_178439
SNRNP27	NM_006857
AC019206.1	ENST00000599032
MXD1	NM_002357
ASPRV1	NM_152792
PCBP1	NM_006196
C2orf42	NM_017880
TIA1	NM_022173
PCYOX1	NM_016297
SNRPG	NM_003096
FAM136A	NM_032822
TGFA	NM_003236
ADD2	NM_001185054
FIGLA	NM_001004311
CLEC4F	NM_173535
CD207	NM_015717
VAX2	NM_012476
ATP6V1B1	NM_001692
AC007040.11	ENST00000606025
ANKRD53	NM_001115116
TEX261	NM_144582
NAGK	NM_017567
MCEE	NM_032601
MPHOSPH10	NM_005791
PAIP2B	NM_020459
ZNF638	NM_014497
DYSF	NM_001130987
CYP26B1	NM_019885
EXOC6B	NM_015189
SPR	NM_003124
EMX1	NM_004097
SFXN5	NM_144579
RAB11FIP5	NM_015470
NOTO	NM_001134462
SMYD5	NM_006062
PRADC1	NM_032319
CCT7	NM_006429
FBXO41	NM_001080410
EGR4	NM_001965
ALMS1	NM_015120
NAT8	NM_003960
NAT8B	NM_016347
TPRKB	NM_016058
DUSP11	NM_003584
C2orf78	NM_001080474
STAMBP	NM_213622
ACTG2	NM_001615
DGUOK	NM_080916
TET3	NM_001287491
MGC10955	ENST00000401851
BOLA3	NM_212552
MOB1A	NM_018221
CATX-2	ENST00000597714
MTHFD2	NM_006636
SLC4A5	NM_021196
DCTN1	NM_004082
RP11-287D1.3	ENST00000451608
C2orf81	NM_001145054
WDR54	NM_032118
RTKN	NM_001015055
INO80B	NM_031288
WBP1	NM_012477
MOGS	NM_006302
MRPL53	NM_053050
CCDC142	NM_032779
TTC31	NM_022492
LBX2	NM_001282430
PCGF1	NM_032673
TLX2	NM_016170
DQX1	NM_133637
AUP1	NM_181575
HTRA2	NM_013247
LOXL3	NM_032603
DOK1	NM_001381
M1AP	NM_138804
SEMA4F	NM_004263
HK2	NM_000189
POLE4	NM_019896
TACR1	NM_001058
EVA1A	NM_032181
MRPL19	NM_014763
GCFC2	NM_003203
LRRTM4	NM_001282924
REG3G	NM_198448
REG1B	NM_006507
REG1A	NM_002909
REG3A	NM_138937
CTNNA2	NM_001282597
LRRTM1	NM_178839
SUCLG1	NM_003849
DNAH6	NM_001370
TRABD2A	NM_001277053
AC022210.1	ENST00000595179
TMSB10	NM_021103
KCMF1	NM_020122
TCF7L1	NM_031283
TGOLN2	NM_001206840
RETSAT	NM_017750
ELMOD3	NM_001135021
CAPG	NM_001747
SH2D6	NM_198482
MAT2A	NM_005911
GGCX	NM_000821
VAMP8	NM_003761
VAMP5	NM_006634
RNF181	NM_016494
TMEM150A	NM_001031738
C2orf68	NM_001013649
USP39	NM_006590
SFTPB	NM_000542
GNLY	NM_006433
ATOH8	NM_032827
ST3GAL5	NM_003896
POLR1A	NM_015425
PTCD3	NM_017952
IMMT	NM_006839
MRPL35	NM_016622
REEP1	NM_001164730
KDM3A	NM_001146688
CHMP3	NM_016079
RNF103-CHMP3	NM_001198954
RNF103	NM_001198951
RMND5A	NM_022780
CD8A	NM_001768
CD8B	NM_172213
AC111200.1	ENST00000441903
RGPD2	NM_001078170
RGPD1	NM_001024457
PLGLB1	NM_001032392
PLGLB2	NM_002665
IGKV3OR2-268	ENST00000421835
KRCC1	NM_016618
SMYD1	NM_198274
FABP1	NM_001443
THNSL2	NM_018271
FOXI3	NM_001135649
TEX37	NM_152670
EIF2AK3	NM_004836
RPIA	NM_144563
IGKC	ENST00000390237
IGKJ5	ENST00000390238
IGKJ4	ENST00000390239
IGKJ3	ENST00000390240
IGKJ2	ENST00000390241
IGKJ1	ENST00000390242
IGKV4-1	ENST00000390243
IGKV5-2	ENST00000390244
IGKV1-5	ENST00000496168
IGKV1-6	ENST00000464162
IGKV3-7	ENST00000390247
IGKV1-8	ENST00000495489
IGKV1-9	ENST00000493819
IGKV3-11	ENST00000483158
IGKV1-12	ENST00000480492
IGKV3-15	ENST00000390252
IGKV1-16	ENST00000479981
IGKV1-17	ENST00000490686
IGKV3-20	ENST00000492167
IGKV6-21	ENST00000390256
IGKV2-24	ENST00000484817
IGKV1-27	ENST00000498435
IGKV2-28	ENST00000482769
IGKV2-30	ENST00000468494
IGKV1-33	ENST00000473726
IGKV1-37	ENST00000465170
IGKV1-39	ENST00000498574
IGKV2-40	ENST00000390264
IGKV2D-40	ENST00000429992
IGKV1D-39	ENST00000448155
IGKV1D-37	ENST00000509129
IGKV1D-33	ENST00000390265
IGKV2D-30	ENST00000474213
IGKV2D-29	ENST00000491977
IGKV2D-28	ENST00000453166
IGKV2D-26	ENST00000390268
IGKV2D-24	ENST00000462693
IGKV6D-21	ENST00000436451
IGKV3D-20	ENST00000390270
IGKV6D-41	ENST00000390271
IGKV1D-17	ENST00000483379
IGKV1D-16	ENST00000492446
IGKV3D-15	ENST00000417279
IGKV1D-13	ENST00000390275
IGKV1D-12	ENST00000390276
IGKV3D-11	ENST00000390277
IGKV1D-42	ENST00000390278
IGKV1D-43	ENST00000468879
IGKV1D-8	ENST00000471857
IGKV3D-7	ENST00000423080
CH17-132F21.1	ENST00000603238
RP11-685N3.1	ENST00000443397
TEKT4	NM_144705
MAL	NM_002371
MRPS5	NM_031902
ZNF514	NM_032788
ZNF2	NM_001291605
PROM2	NM_144707
KCNIP3	NM_013434
FAHD2A	NM_016044
TRIM43B	NM_001164464
TRIM43	NM_138800
ANKRD36C	ENST00000456556
GPAT2	NM_207328
ADRA2B	NM_000682
ASTL	NM_001002036
DUSP2	NM_004418
STARD7	NM_020151
TMEM127	NM_017849
CIAO1	NM_004804
SNRNP200	NM_014014
ITPRIPL1	NM_001008949
NCAPH	NM_015341
NEURL3	NM_001285485
ARID5A	NM_212481
KANSL3	NM_001115016
FER1L5	NM_001293083
LMAN2L	NM_001142292
CNNM4	NM_020184
CNNM3	NM_017623
ANKRD23	NM_144994
ANKRD39	NM_016466
SEMA4C	NM_017789
FAM178B	NM_001122646
FAHD2B	NM_199336
ANKRD36	NM_001164315
ANKRD36B	NM_025190
COX5B	NM_001862
ACTR1B	NM_005735
ZAP70	NM_001079
TMEM131	NM_015348
VWA3B	NM_144992
AC092675.3	ENST00000409490
CNGA3	NM_001298
INPP4A	NM_001134224
COA5	NM_001008215
UNC50	NM_014044
MGAT4A	NM_012214
KIAA1211L	NM_207362
TSGA10	NM_182911
C2ORF15	ENST00000302513
C2orf15	NM_144706
LIPT1	NM_015929
MITD1	NM_138798
MRPL30	NM_145212
LYG2	NM_175735
LYG1	NM_174898
TXNDC9	NM_005783
EIF5B	NM_015904
REV1	NM_016316
AFF3	NM_001025108
LONRF2	NM_198461
AC012493.2	ENST00000595083
CHST10	NM_004854
NMS	NM_001011717
PDCL3	NM_024065
NPAS2	NM_002518
RPL31	NM_001098577
TBC1D8	NM_001102426
CNOT11	NM_017546
RNF149	NM_173647
CREG2	NM_153836
RFX8	NM_001145664
MAP4K4	NM_145686
FLJ20373	ENST00000414004
IL1R2	NM_004633
IL1R1	NM_000877
IL1RL2	NM_003854
IL1RL1	NM_016232
IL18R1	NM_003855
IL18RAP	NM_003853
SLC9A4	NM_001011552
SLC9A2	NM_003048
MFSD9	NM_032718
TMEM182	NM_144632
POU3F3	NM_006236
MRPS9	NM_182640
GPR45	NM_007227
AC012360.1	ENST00000595481
AC012360.2	ENST00000595531
TGFBRAP1	NM_004257
C2orf49	NM_024093
FHL2	NM_201555
NCK2	NM_003581
C2orf40	NM_032411
UXS1	NM_001253875
RGPD3	NM_001144013
AC108868.1	ENST00000596204
ST6GAL2	NM_032528
RGPD4	NM_182588
SLC5A7	NM_021815
SULT1C3	NM_001008743
SULT1C2	NM_176825
SULT1C4	NM_006588
GCC2	NM_181453
LIMS1	NM_001193485
RANBP2	NM_006267
CCDC138	NM_144978
EDAR	NM_022336
SH3RF3	NM_001099289
SEPT10	NM_144710
SOWAHC	NM_023016
RGPD6	NM_001123363
RGPD5	NM_005054
LIMS3L	NM_001205288
LIMS3	NM_033514
MALL	NM_005434
NPHP1	NM_000272
BUB1	NM_004336
ACOXL	NM_001142807
BCL2L11	NM_138621
ANAPC1	NM_022662
MERTK	NM_006343
TMEM87B	NM_032824
FBLN7	NM_153214
ZC3H8	NM_032494
ZC3H6	NM_198581
RGPD8	NM_001164463
TTL	NM_153712
POLR1B	NM_001282772
CHCHD5	NM_032309
SLC20A1	NM_005415
NT5DC4	ENST00000327581
CKAP2L	NM_152515
IL1A	NM_000575
IL1B	NM_000576
IL37	NM_014439
IL36G	NM_019618
IL36A	NM_014440
IL36B	NM_014438
IL36RN	NM_173170
IL1F10	NM_173161
IL1RN	NM_173841
PSD4	NM_012455
PAX8	NM_003466
IGKV1OR2-108	ENST00000453673
CBWD2	NM_172003
AC016745.1	ENST00000440617
FOXD4L1	NM_012184
RABL2A	NM_007082
SLC35F5	NM_025181
ACTR3	NM_005721
DPP10	NM_001178034
DDX18	NM_006773
CCDC93	NM_019044
INSIG2	NM_016133
EN1	NM_001426
MARCO	NM_006770
C1QL2	NM_182528
STEAP3	NM_182915
C2orf76	NM_001017927
DBI	NM_001178017
TMEM37	NM_183240
SCTR	NM_002980
PCDP1	NM_001271049
TMEM177	NM_001105199
PTPN4	NM_002830
EPB41L5	NM_020909
TMEM185B	NM_024121
RALB	NM_002881
INHBB	NM_002193
LINC01101	ENST00000593290
GLI2	NM_005270
TFCP2L1	NM_014553
CLASP1	NM_015282
RNU4ATAC	ENST00000580972
NIFK	NM_032390
TSN	NM_004622
CNTNAP5	NM_130773
GYPC	NM_002101
AC114783.1	ENST00000568484
BIN1	NM_139343
CYP27C1	NM_001001665
ERCC3	NM_000122
MAP3K2	NM_006609
PROC	NM_000312
IWS1	NM_017969
MYO7B	NM_001080527
LIMS2	NM_001136037
GPR17	NM_005291
SFT2D3	NM_032740
WDR33	NM_018383
POLR2D	NM_004805
AMMECR1L	NM_001199140
SAP130	NM_001145928
UGGT1	NM_020120
HS6ST1	NM_004807
RAB6C	NM_032144
POTEF	NM_001099771
CCDC74B	NM_207310
SMPD4	NM_017951
MZT2B	NM_025029
TUBA3E	NM_207312
CCDC115	NM_032357
IMP4	NM_033416
PTPN18	NM_014369
POTEI	NM_001277406
CFC1B	NM_001079530
AC013269.5	ENST00000409259
AC140481.2	ENST00000440359
CFC1	NM_032545
POTEJ	NM_001277083
GPR148	NM_207364
AMER3	NM_001105193
ARHGEF4	NM_015320
FAM168B	NM_001009993
PLEKHB2	NM_001267062
POTEE	NM_001083538
CYP4F31P	ENST00000416266
WTH3DI	NM_001077637
TUBA3D	NM_080386
MZT2A	NM_001085365
CCDC74A	NM_138770
C2orf27A	NM_013310
C2orf27B	NM_214461
ANKRD30BL	ENST00000409867
GPR39	NM_001508
LYPD1	NM_144586
NCKAP5	NM_207363
AC011755.1	ENST00000596384
MGAT5	NM_002410
TMEM163	NM_030923
ACMSD	NM_138326
CCNT2	NM_058241
MAP3K19	NM_025052
RAB3GAP1	NM_001172435
ZRANB3	NM_032143
R3HDM1	NM_001282798
UBXN4	NM_014607
LCT	NM_002299
MCM6	NM_005915
DARS	NM_001349
CXCR4	NM_003467
THSD7B	NM_001080427
HNMT	NM_006895
SPOPL	NM_001001664
NXPH2	NM_007226
LRP1B	NM_018557
KYNU	NM_003937
ARHGAP15	NM_018460
GTDC1	NM_001006636
ZEB2	NM_014795
ACVR2A	NM_001616
ORC4	NM_181741
MBD5	NM_018328
EPC2	NM_015630
KIF5C	NM_004522
LYPD6B	NM_177964
LYPD6	NM_194317
MMADHC	NM_015702
RND3	NM_001254738
AC023469.1	ENST00000409243
RBM43	NM_198557
NMI	NM_004688
TNFAIP6	NM_007115
RIF1	NM_018151
NEB	NM_001271208
ARL5A	NM_012097
CACNB4	NM_000726
STAM2	NM_005843
FMNL2	NM_052905
PRPF40A	NM_017892
ARL6IP6	NM_152522
RPRM	NM_019845
GALNT13	NM_052917
LOC100144595	NM_001256368
KCNJ3	NM_002239
NR4A2	NM_006186
GPD2	NM_000408
AC011308.1	ENST00000601086
GALNT5	NM_014568
ERMN	NM_001009959
CYTIP	NM_004288
ACVR1C	NM_145259
ACVR1	NM_001105
UPP2	NM_001135098
CCDC148	NM_138803
PKP4	NM_003628
DAPL1	NM_001017920
TANC1	NM_033394
WDSUB1	NM_152528
BAZ2B	NM_013450
MARCH7	NM_001282805
LY75-CD302	NM_001198759
CD302	NM_014880
LY75	NM_002349
PLA2R1	NM_007366
ITGB6	NM_000888
RBMS1	NM_016836
TANK	NM_001199135
PSMD14	NM_005805
TBR1	NM_006593
SLC4A10	NM_001178015
DPP4	NM_001935
GCG	NM_002054
FAP	NM_004460
IFIH1	NM_022168
GCA	NM_012198
KCNH7	NM_033272
FIGN	NM_018086
GRB14	NM_004490
COBLL1	NM_001278458
SLC38A11	NM_001199148
SCN3A	NM_006922
SCN2A	NM_021007
CSRNP3	NM_001172173
GALNT3	NM_004482
TTC21B	NM_024753
SCN1A	NM_001202435
SCN9A	NM_002977
SCN7A	NM_002976
XIRP2	NM_152381
B3GALT1	NM_020981
STK39	NM_013233
CERS6	NM_001256126
NOSTRIN	NM_001171631
SPC25	NM_020675
G6PC2	NM_021176
ABCB11	NM_003742
DHRS9	NM_001289763
LRP2	NM_004525
RP11-724O16.1	ENST00000513963
BBS5	NM_152384
KLHL41	NM_006063
FASTKD1	NM_024622
PPIG	NM_004792
CCDC173	NM_001085447
PHOSPHO2	NM_001008489
PHOSPHO2-KLHL23	NM_001199290
KLHL23	NM_144711
SSB	NM_001294145
METTL5	NM_014168
UBR3	NM_172070
MYO3B	NM_138995
LINC01124	ENST00000409786
SP5	NM_001003845
ERICH2	NM_001290030
GAD1	NM_000817
GORASP2	NM_015530
TLK1	NM_012290
METTL8	NM_024770
DCAF17	NM_025000
CYBRD1	NM_024843
DYNC1I2	NM_001271785
AC068039.1	ENST00000598148
SLC25A12	NM_003705
HAT1	NM_003642
METAP1D	NM_199227
DLX1	NM_178120
DLX2	NM_004405
ITGA6	NM_001079818
PDK1	NM_001278549
RAPGEF4	NM_007023
ZAK	NM_016653
MLTK	ENST00000409176
CDCA7	NM_031942
SP3	NM_003111
OLA1	NM_013341
SP9	NM_001145250
AC018470.1	ENST00000595354
CIR1	NM_004882
SCRN3	NM_001193528
GPR155	NM_001033045
WIPF1	NM_003387
CHRNA1	NM_001039523
CHN1	NM_001822
ATF2	NM_001880
ATP5G3	NM_001689
KIAA1715	NM_030650
EVX2	NM_001080458
HOXD13	NM_000523
HOXD12	NM_021193
HOXD11	NM_021192
HOXD10	NM_002148
HOXD9	NM_014213
HOXD8	NM_019558
HOXD4	NM_014621
HOXD3	NM_006898
HOXD1	NM_024501
MTX2	NM_006554
HNRNPA3	NM_194247
NFE2L2	NM_006164
AGPS	NM_003659
TTC30B	NM_152517
TTC30A	NM_152275
PDE11A	NM_016953
RBM45	NM_152945
OSBPL6	NM_001201480
PRKRA	NM_003690
DFNB59	NM_001042702
FKBP7	NM_181342
PLEKHA3	NM_019091
TTN	NM_001267550
CCDC141	NM_173648
SESTD1	NM_178123
ZNF385B	NM_152520
CWC22	NM_020943
UBE2E3	NM_006357
ITGA4	NM_000885
CERKL	NM_001030311
NEUROD1	NM_002500
SSFA2	NM_001130445
PPP1R1C	NM_001261424
PDE1A	NM_001258312
DNAJC10	NM_018981
FRZB	NM_001463
NCKAP1	NM_205842
DUSP19	NM_080876
NUP35	NM_138285
ZNF804A	NM_194250
FSIP2	NM_173651
ZC3H15	NM_018471
AC018867.1	ENST00000396985
AC018867.2	ENST00000595956
ITGAV	NM_002210
FAM171B	NM_177454
ZSWIM2	NM_182521
CALCRL	NM_001271751
TFPI	NM_006287
GULP1	NM_001252668
DIRC1	NM_052952
COL3A1	NM_000090
COL5A2	NM_000393
WDR75	NM_032168
SLC40A1	NM_014585
ASNSD1	NM_019048
ANKAR	NM_144708
OSGEPL1	NM_022353
ORMDL1	NM_001128150
AC013468.1	ENST00000424876
PMS1	NM_000534
MSTN	NM_005259
C2orf88	NM_001042520
HIBCH	NM_014362
INPP1	NM_001128928
MFSD6	NM_017694
TMEM194B	NM_001142645
NAB1	NM_005966
GLS	NM_014905
STAT1	NM_007315
STAT4	NM_003151
MYO1B	NM_001130158
NABP1	NM_001031716
SDPR	NM_004657
TMEFF2	NM_016192
SLC39A10	NM_001127257
DNAH7	NM_018897
STK17B	NM_004226
HECW2	NM_020760
CCDC150	NM_001080539
GTF3C3	NM_012086
C2orf66	NM_213608
PGAP1	NM_024989
ANKRD44	NM_001195144
SF3B1	NM_012433
COQ10B	NM_025147
HSPD1	NM_002156
HSPE1-MOB4	NM_001202485
HSPE1	NM_002157
MOB4	NM_015387
RFTN2	NM_144629
AC011997.1	ENST00000409845
MARS2	NM_138395
BOLL	NM_001284361
PLCL1	NM_006226
SATB2	NM_001172517
FTCDNL1	ENST00000420128
C2orf69	NM_153689
TYW5	NM_001039693
C2orf47	NM_024520
SPATS2L	NM_001282744
KCTD18	NM_152387
SGOL2	NM_152524
AOX1	NM_001159
BZW1	NM_001207068
CLK1	NM_001162407
PPIL3	NM_032472
NIF3L1	NM_001136039
ORC2	NM_006190
FAM126B	NM_173822
NDUFB3	NM_001257102
CFLAR	NM_001127183
CASP10	NM_032977
CASP8	NM_001228
ALS2CR12	NM_139163
TRAK2	NM_015049
STRADB	NM_018571
ALS2CR11	NM_001168221
TMEM237	NM_152388
MPP4	NM_033066
ALS2	NM_020919
CDK15	NM_001261435
FZD7	NM_003507
LOC100652824	NM_001277372
AC079354.1	ENST00000541917
SUMO1	NM_001005781
AC079354.2	ENST00000594829
NOP58	NM_015934
BMPR2	NM_001204
FAM117B	NM_173511
ICA1L	NM_001288622
WDR12	NM_018256
CARF	NM_001104586
NBEAL1	NM_001114132
CYP20A1	NM_177538
ABI2	NM_001282925
RAPH1	NM_213589
CD28	NM_006139
CTLA4	NM_005214
ICOS	NM_012092
PARD3B	NM_152526
NRP2	NM_201266
INO80D	NM_017759
NDUFS1	NM_001199984
EEF1B2	NM_001037663
GPR1	NM_001098199
ZDBF2	NM_020923
AC017081.1	ENST00000598562
ADAM23	NM_003812
LOC200726	NM_001102659
DYTN	NM_001093730
MDH1B	NM_001039845
FASTKD2	NM_014929
CPO	NM_173077
KLF7	NM_003709
CREB1	NM_134442
METTL21A	NM_145280
CCNYL1	NM_152523
FZD5	NM_003468
PLEKHM3	NM_001080475
CRYGD	NM_006891
CRYGC	NM_020989
CRYGB	NM_005210
CRYGA	NM_014617
C2orf80	NM_001099334
IDH1	NM_005896
PIKFYVE	NM_015040
PTH2R	NM_005048
MAP2	NM_002374
UNC80	NM_032504
RPE	NM_199229
KANSL1L	NM_152519
ACADL	NM_001608
MYL1	NM_079420
LANCL1	NM_006055
CPS1	NM_001122633
ERBB4	NM_005235
IKZF2	NM_016260
LOC100130451	NM_001242575
SPAG16	NM_024532
VWC2L	NM_001080500
BARD1	NM_000465
ABCA12	NM_173076
ATIC	NM_004044
FN1	NM_212482
MREG	NM_018000
PECR	NM_018441
TMEM169	NM_138390
XRCC5	NM_021141
MARCH4	NM_020814
SMARCAL1	NM_014140
RPL37A	NM_000998
IGFBP2	NM_000597
IGFBP5	NM_000599
TNP1	NM_003284
AC007557.1	ENST00000456163
DIRC3	ENST00000423123
TNS1	NM_022648
RUFY4	NM_198483
CXCR2	NM_001168298
CXCR1	NM_000634
ARPC2	NM_005731
GPBAR1	NM_170699
AAMP	NM_001087
PNKD	NM_015488
TMBIM1	NM_022152
C2orf62	ENST00000289388
CATIP	NM_198559
SLC11A1	NM_000578
CTDSP1	NM_021198
VIL1	NM_007127
USP37	NM_020935
RQCD1	NM_001271634
PLCD4	NM_032726
ZNF142	NM_001105537
BCS1L	NM_001257342
RNF25	NM_022453
STK36	NM_015690
TTLL4	NM_014640
CYP27A1	NM_000784
PRKAG3	NM_017431
WNT6	NM_006522
WNT10A	NM_025216
CDK5R2	NM_003936
FEV	NM_017521
CRYBA2	NM_057093
CCDC108	NM_194302
IHH	NM_002181
NHEJ1	NM_024782
SLC23A3	NM_001144890
CNPPD1	NM_015680
FAM134A	NM_024293
ZFAND2B	NM_138802
ABCB6	NM_005689
ATG9A	NM_024085
ANKZF1	NM_018089
GLB1L	NM_024506
STK16	NM_001008910
TUBA4A	NM_006000
DNAJB2	NM_006736
PTPRN	NM_002846
RESP18	NM_001007089
DNPEP	NM_012100
DES	NM_001927
SPEG	NM_005876
LOC100996693	NM_001286811
GMPPA	NM_013335
ASIC4	NM_182847
CHPF	NM_024536
TMEM198	NM_001005209
OBSL1	NM_015311
INHA	NM_002191
STK11IP	NM_052902
SLC4A3	NM_201574
EPHA4	NM_004438
PAX3	NM_181459
CCDC140	NM_153038
SGPP2	NM_152386
FARSB	NM_005687
MOGAT1	NM_058165
ACSL3	NM_004457
KCNE4	NM_080671
SCG2	NM_003469
AP1S3	NM_001039569
WDFY1	NM_020830
MRPL44	NM_022915
SERPINE2	NM_001136530
FAM124B	NM_001122779
CUL3	NM_003590
DOCK10	NM_014689
NYAP2	NM_020864
IRS1	NM_005544
RHBDD1	NM_001167608
COL4A4	NM_000092
COL4A3	NM_000091
MFF	NM_001277061
TM4SF20	NM_024795
AGFG1	NM_001135187
C2orf83	NM_020161
SLC19A3	NM_025243
CCL20	NM_004591
DAW1	NM_178821
SPHKAP	NM_001142644
PID1	NM_017933
DNER	NM_139072
TRIP12	NM_001284214
FBXO36	NM_174899
SLC16A14	NM_152527
SP110	NM_004509
SP140	NM_007237
SP140L	NM_138402
SP100	NM_001080391
CAB39	NM_001130850
ITM2C	NM_001287241
GPR55	NM_005683
SPATA3	NM_139073
C2orf72	NM_001144994
PSMD1	NM_002807
HTR2B	NM_000867
ARMC9	NM_001271466
B3GNT7	NM_145236
AC017104.2	ENST00000370380
NCL	NM_005381
NMUR1	NM_006056
C2orf57	NM_152614
MGC4771	ENST00000595658
PTMA	NM_001099285
PDE6D	NM_002601
COPS7B	NM_001282950
NPPC	NM_024409
DIS3L2	NM_152383
ALPP	NM_001632
ALPPL2	NM_031313
ALPI	NM_001631
ECEL1	NM_004826
PRSS56	NM_001195129
CHRND	NM_000751
CHRNG	NM_005199
TIGD1	NM_145702
EIF4E2	NM_004846
EFHD1	NM_025202
GIGYF2	NM_001103147
KCNJ13	NM_002242
C2orf82	NM_206895
NGEF	NM_019850
AC106876.2	ENST00000409905
NEU2	NM_005383
INPP5D	NM_001017915
ATG16L1	NM_030803
SAG	NM_000541
DGKD	NM_152879
USP40	NM_018218
UGT1A8	NM_019076
UGT1A10	NM_019075
UGT1A9	NM_021027
UGT1A7	NM_019077
UGT1A6	NM_001072
UGT1A5	NM_019078
UGT1A4	NM_007120
UGT1A3	NM_019093
DNAJB3	NM_001001394
UGT1A1	NM_000463
MROH2A	NM_001287395
HJURP	NM_018410
TRPM8	NM_024080
SPP2	NM_006944
ARL4C	NM_001282431
SH3BP4	NM_014521
AGAP1	NM_001037131
AC064874.1	ENST00000440101
GBX2	NM_001485
ASB18	NM_212556
IQCA1	NM_001270585
ACKR3	NM_020311
COPS8	NM_006710
AC112715.2	ENST00000445534
COL6A3	NM_004369
AC112721.1	ENST00000409162
MLPH	NM_024101
PRLH	NM_015893
RAB17	NM_022449
AC104667.3	ENST00000452801
LRRFIP1	NM_001137550
RBM44	NM_001080504
RAMP1	NM_005855
UBE2F	NM_080678
UBE2F-SCLY	ENST00000449191
SCLY	NM_016510
ESPNL	NM_194312
KLHL30	NM_198582
FAM132B	NM_001291832
ILKAP	NM_030768
AC016757.3	ENST00000409070
HES6	NM_018645
PER2	NM_022817
AC012485.1	ENST00000598920
TRAF3IP1	NM_015650
ASB1	NM_001040445
TWIST2	NM_001271893
HDAC4	NM_006037
AC017028.1	ENST00000396489
AC062017.1	ENST00000413029
AC079612.1	ENST00000358775
AC093802.1	ENST00000407524
NDUFA10	NM_004544
OR6B2	NM_001005853
PRR21	NM_001080835
OR6B3	NM_173351
AC013469.1	ENST00000593909
MYEOV2	NM_138336
OTOS	NM_148961
GPC1	NM_002081
AC110619.2	ENST00000404327
ANKMY1	NM_001282771
DUSP28	NM_001033575
RNPEPL1	NM_018226
CAPN10	NM_023083
GPR35	NM_001195382
AQP12B	NM_001102467
AC011298.1	ENST00000599492
AQP12A	NM_198998
KIF1A	NM_001244008
AGXT	NM_000030
C2orf54	NM_001085437
AC104809.3	ENST00000430980
SNED1	NM_001080437
MTERFD2	NM_182501
PASK	NM_001252119
PPP1R7	NM_002712
ANO7	NM_001001891
AC104841.2	ENST00000601871
HDLBP	NM_203346
SEPT2	NM_001282972
FARP2	NM_014808
STK25	NM_006374
BOK	NM_032515
THAP4	NM_015963
ATG4B	NM_013325
DTYMK	NM_012145
ING5	NM_032329
D2HGDH	NM_152783
GAL3ST2	NM_022134
NEU4	NM_001167599
PDCD1	NM_005018
CXXC11	ENST00000343216
RTP5	NM_173821
AC131097.4	ENST00000452112
DEFB125	NM_153325
DEFB126	NM_030931
DEFB127	NM_139074
DEFB128	NM_001037732
DEFB129	NM_080831
DEFB132	NM_207469
C20orf96	NM_153269
ZCCHC3	NM_033089
SOX12	NM_006943
NRSN2	NM_024958
TRIB3	NM_001301201
RBCK1	NM_031229
TBC1D20	NM_144628
CSNK2A1	NM_001895
TCF15	NM_004609
SRXN1	NM_080725
RP5-850E9.3	ENST00000488788
SCRT2	NM_033129
SLC52A3	NM_033409
